ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_share,float_share,free_share,total_mv,circ_mv
601318.SH,20121231,44.0,45.85,44.0,45.29,43.81,1.4799999999999969,3.3782,329814.63,1491927.959,0.7661,1.15,18.4093,17.0392,2.4523,1.4403,1.2362,1.18,0.88,791614.2092,478640.9636,430505.0085,35852207.5347,21677649.2414
601318.SH,20121228,43.49,44.05,42.91,43.81,43.23,0.5800000000000054,1.3417,233856.69,1018806.453,0.5432,0.83,17.8078,16.4824,2.3722,1.3933,1.1958,1.22,0.91,791614.2092,478640.9636,430505.0085,34680618.5051,20969260.6153
601318.SH,20121227,43.74,44.0,43.05,43.23,43.46,-0.23000000000000398,-0.5292,188725.97,817959.179,0.4384,0.67,17.572,16.2642,2.3408,1.3748,1.18,1.24,0.93,791614.2092,478640.9636,430505.0085,34221482.2637,20691648.8564
601318.SH,20121226,43.01,43.89,42.91,43.46,43.0,0.46000000000000085,1.0698,255462.84,1110470.602,0.5934,0.93,17.6655,16.3507,2.3532,1.3821,1.1862,1.23,0.92,791614.2092,478640.9636,430505.0085,34403553.5318,20801736.2781
601318.SH,20121225,41.78,43.62,41.71,43.0,42.12,0.8800000000000026,2.0893,451714.17,1938747.155,1.0493,1.86,17.4785,16.1777,2.3283,1.3675,1.1737,1.25,0.93,791614.2092,478640.9636,430505.0085,34039410.9956,20581561.4348
601318.SH,20121224,41.31,42.28,41.11,42.12,42.39,-0.2700000000000031,-0.6369,301313.31,1260087.78,0.6999,1.17,17.1208,15.8466,2.2807,1.3395,1.1497,1.27,0.95,791614.2092,478640.9636,430505.0085,33342790.4915,20160357.3868
601318.SH,20121221,42.42,43.35,42.1,42.39,42.26,0.13000000000000256,0.3076,216402.82,922664.53,0.5027,0.67,17.2306,15.9482,2.2953,1.3481,1.157,1.27,0.94,791614.2092,478640.9636,430505.0085,33556526.328,20289590.447
601318.SH,20121220,41.65,42.5,41.5,42.26,41.77,0.4899999999999949,1.1731,179182.15,753309.745,0.4162,0.54,17.1777,15.8993,2.2882,1.344,1.1535,1.27,0.95,791614.2092,478640.9636,430505.0085,33453616.4808,20227367.1217
601318.SH,20121219,42.05,42.5,41.5,41.77,42.18,-0.4099999999999966,-0.972,227215.18,954376.024,0.5278,0.7,16.9785,15.7149,2.2617,1.3284,1.1401,1.28,0.96,791614.2092,478640.9636,430505.0085,33065725.5183,19992833.0496
601318.SH,20121218,42.4,43.22,41.91,42.18,42.51,-0.3299999999999983,-0.7763,292155.74,1240044.408,0.6786,0.95,17.1452,15.8692,2.2839,1.3414,1.1513,1.27,0.95,791614.2092,478640.9636,430505.0085,33390287.3441,20189075.8446
601318.SH,20121217,41.96,43.0,41.88,42.51,41.96,0.5499999999999972,1.3108,370272.97,1570591.678,0.8601,1.24,17.2793,15.9933,2.3018,1.3519,1.1603,1.26,0.94,791614.2092,478640.9636,430505.0085,33651520.0331,20347027.3626
601318.SH,20121214,38.99,42.2,38.99,41.96,38.86,3.1000000000000014,7.9774,548049.4,2252954.479,1.273,2.24,17.0558,15.7864,2.272,1.3344,1.1453,1.28,0.95,791614.2092,478640.9636,430505.0085,33216132.218,20083774.8327
601318.SH,20121213,39.78,39.78,38.75,38.86,39.88,-1.0200000000000031,-2.5577,233706.52,918412.335,0.5429,0.98,15.7957,14.6201,2.1041,1.2358,1.0607,1.38,1.03,791614.2092,478640.9636,430505.0085,30762128.1695,18599987.8455
